,Household Size,,,,,,,,,,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Kit Carson,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Lake,Low Income,"$58,550","$66,900","$75,250","$83,600","$90,300","$97,000","$103,700","$110,400",,,,,,,
,Moderate Income,"$58,550 - $109,750","$66,900 - $125,400","$75,250 - $141,100","$83,600 - $156,750","$90,300 - $169,300","$97,000 - $181,850","$103,700 - $194,400","$110,400 - $206,950",,,,,,,
La Plata,Low Income,"$65,800","$75,200","$84,600","$94,000","$101,550","$109,050","$116,600","$124,100",,,,,,,
,Moderate Income,"$65,800 - $123,400","$75,200 - $141,000","$84,600 - $158,650","$94,000 - $176,250","$101,550 - $190,350","$109,050 - $204,450","$116,600 - $218,550","$124,100 - $232,650",,,,,,,
Larimer,Low Income,"$71,500","$81,700","$91,900","$102,100","$110,300","$118,450","$126,650","$134,800",,,,,,,
,Moderate Income,"$71,500 - $134,000","$81,700 - $153,150","$91,900 - $172,300","$102,100 - $191,400","$110,300 - $206,750","$118,450 - $222,050","$126,650 - $237,350","$134,800 - $252,650",,,,,,,
Las Animas,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Lincoln,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Logan,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Mesa,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Mineral,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Moffat,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Montezuma,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Montrose,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Morgan,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Otero,Low Income,"$57,150","$65,300","$73,450","$81,600","$88,150","$94,700","$101,200","$107,750",,,,,,,
,Moderate Income,"$57,150 - $107,100","$65,300 - $122,400","$73,450 - $137,700","$81,600 - $153,000","$88,150 - $165,250","$94,700 - $177,500","$101,200 - $189,750","$107,750 - $202,000",,,,,,,
Ouray,Low Income,"$58,550","$66,900","$75,250","$83,600","$90,300","$97,000","$103,700","$110,400",,,,,,,
,Moderate Income,"$58,550 - $109,750","$66,900 - $125,400","$75,250 - $141,100","$83,600 - $156,750","$90,300 - $169,300","$97,000 - $181,850","$103,700 - $194,400","$110,400 - $206,950",,,,,,,
Park,Low Income,"$72,950","$83,400","$93,800","$104,200","$112,550","$120,900","$129,250","$137,550",,,,,,,
